alpha,tau,strategy,n_patients,accuracy,mean_stop_tests,pct_early_stop
0.0,0.4,bfs,300,0.6633333333333333,1.79,0.7533333333333333
0.0,0.5,bfs,300,0.6666666666666666,1.7133333333333334,0.7666666666666667
0.0,0.6,bfs,300,0.6533333333333333,1.6466666666666667,0.7933333333333333
0.0,0.7,bfs,300,0.6366666666666667,1.58,0.82
0.0,0.7999999999999999,bfs,300,0.62,1.4966666666666666,0.85
0.0,0.8999999999999999,bfs,300,0.6066666666666667,1.43,0.8833333333333333
0.0,0.9999999999999999,bfs,300,0.5666666666666667,1.3233333333333333,0.92
0.0,1.0999999999999999,bfs,300,0.5666666666666667,1.2566666666666666,0.9366666666666666
0.0,1.2,bfs,300,0.5633333333333334,1.1466666666666667,0.9666666666666667
0.0,1.3,bfs,300,0.57,1.0933333333333333,0.98
0.0,1.4,bfs,300,0.5666666666666667,1.0633333333333332,0.99
0.0,1.5,bfs,300,0.5666666666666667,1.0466666666666666,0.99
0.0,1.5999999999999999,bfs,300,0.5566666666666666,1.0166666666666666,1.0
0.0,1.7,bfs,300,0.5566666666666666,1.01,1.0
0.0,1.8,bfs,300,0.5566666666666666,1.0033333333333334,1.0
0.0,1.9,bfs,300,0.5566666666666666,1.0,1.0
0.0,0.1,ig,300,0.6866666666666666,2.0933333333333333,0.6333333333333333
0.0,0.2,ig,300,0.68,2.006666666666667,0.6633333333333333
0.0,0.3,ig,300,0.6866666666666666,1.8933333333333333,0.7133333333333334
0.0,0.4,ig,300,0.6633333333333333,1.79,0.7533333333333333
0.0,0.5,ig,300,0.6666666666666666,1.7133333333333334,0.7666666666666667
0.0,0.6,ig,300,0.6533333333333333,1.6466666666666667,0.7933333333333333
0.0,0.7,ig,300,0.6366666666666667,1.58,0.82
0.0,0.7999999999999999,ig,300,0.62,1.4966666666666666,0.85
0.0,0.8999999999999999,ig,300,0.6066666666666667,1.43,0.8833333333333333
